start	end	text
0	15160	Hello and welcome back to week three of Python applied core and applied concepts.
15160	22000	So in this week we will be mostly covering module three which is about you know reasoning
22000	25400	with assignment conditional and loops.
25400	33920	So before we proceed with today's lecture so let me briefly talk about what we discussed
33920	35760	in the last week.
35760	41920	So this was roughly what we were discussing in the last week we talked about Python expression
41920	42920	hierarchy.
42920	48720	We learned how to build simple expressions, whether it be arithmetic expression logical
48720	54480	expression or other kind of you know lambda expressions using operators.
54480	61920	We went to the assignment expression which is distinctive from assignment statement.
61920	68400	And we discussed the distinction between these two with carefully chosen example and then
68400	75120	we moved on to lambda expression and discussed about lambda expression in you know some detail.
75120	81920	We tried to emphasize that lambda expression are nameless functions and at multiple places
81920	89200	they can be you know of use or they can be preferred over a simple function for which
89200	91640	we have names.
91640	94160	So lambda expressions are nameless functions.
94160	99400	So if you feel like you don't need to give a name to a particular function and you
99400	104880	still want to use that function maybe you know the best choice is lambda expression.
104880	110440	So we discussed about this so please go through those lecture if you can't recall you
110440	112480	know some of this concept.
112480	120920	So yeah so with this let me go to today's topic which is mostly about assignment statement.
120920	125320	So this week we will be mostly talking about assignment statement then you know conditionals
125320	132360	in Python programming language and going ahead we will also see how to write loops and
132440	139080	where can loops help us you know do some computation which is otherwise not possible using
139080	143200	you know primitive concept like assignment and only conditionals.
143200	149800	So now let me go directly to the non Jupyter notebook so again so we are here and what
149800	156760	you can see is this model 3 which will be reasoning about assignment conditional and loops.
156760	161880	So let's begin with the simplest one so although we have discussed in some you know detail
161960	169160	this assignment statement when we were discussing about assignment expression but let us
169160	174920	discuss today the semantics a little bit you know clearly so let's do a deep dive into this
175720	182360	assignment statement with some very simple example which many of you might have seen earlier.
183000	189960	So the idea today is to understand the semantics of assignment properly okay so and it can be
189960	196520	understood only if we know focus on some simple very simple example very very you know simplest
196520	203000	kind of example that can let us focus on the semantics rather than the you know complex syntax of
203000	208360	the whole programming language. So assignments as I mentioned in the very you know first video
208360	214920	are maybe the you know only way by which you can change the state of abstract machine okay and
215000	221240	remember we are talking about a statement and normally statements are mean to change the state
