start	end	text
0	19440	Hello and welcome back to the Python Core and Applied Concept.
19440	25960	We are going to start Model 2 today and the main content of Model 2 will be the basic
25960	32680	building blocks of Python programming language which are now variable data types expression.
32680	38240	So let us now begin the discussion by moving to the slides.
38240	41720	So this is our slide, title slide which says that now we are going to discuss today the
41720	50960	building blocks, variables, data types and expressions in Python.
50960	56440	So before we start the discussion of the basic building blocks of Python, let me quickly
56440	59720	recap what we discussed so far.
59720	64120	So we have already discussed the difference between syntax and semantics for programming
64120	66720	language in detail in the last module.
66720	72240	We understood that for defining programming language, you need to clearly define what
72240	77760	all you can write in that programming language or what can be accepted as a valid program
77760	79920	in the programming language.
79920	84920	And these things are described using the syntax of programming language, sometimes we
84920	92680	call syntax is what describe this notion of what is a valid or what is an invalid structurally
92680	95480	valid or invalid program in a programming language.
95480	101200	And the meaning of those structurally valid program is what we refer to as normally semantics.
101200	107840	So the only way to describe semantics or the most common way in which the programming
107840	113360	language designers would want to describe the semantics of a programming language is in
113360	114360	English, right?
114360	119720	And we describe the meaning of a program by describing what will be the effect of executing
119720	123720	that program on the state of machine that is running that program, okay?
123720	129080	And if you recall, we also discussed the complexity involved in this process of describing
129080	134480	the meaning or semantics of a programming language because if you want to know the true
134480	140800	or semantics, then you have to describe the effect of execution of that program on the
140800	143640	exact machine, which we also refer to as concrete machine, right?
143640	145240	This is very complex.
145240	149840	And you know, if you want to reason at that level, it becomes very difficult to write and
149840	153480	reason any, let's say, you know, non-trivial and useful program.
153480	157760	So that's why we move to the concept of high level programming languages, right?
157760	164000	I mean, we say that high level programming languages help us abstract out these concrete
164000	168960	machine details by assuming some abstract machine where, you know, the number of details
168960	169960	are not so high.
169960	173960	I mean, you don't every time need to think in terms of what's changing inside the machine
173960	174960	rather than that.
174960	178720	You can think in terms of, you know, abstract concepts like what we are going to discuss
178720	184000	today, variables and expressions and how these, you know, abstract concepts of, you know,
184000	189080	variable and expression can help us figure out, you know, the change of the state of our
189080	191680	abstract machine that we want to know work with.
191680	194840	So underlying every high level programming language, there is an abstract machine which
194840	200920	is far more simpler than our concrete machine, which we will actually run the program.
200920	205080	But I mean, reasoning on top of the abstract machine is sufficient for, you know, ensuring
205080	209480	that your program behaves exactly the same way as you want when it's, you know, executed
209480	212120	even on the non-trivial machine or concrete machine, okay?
212120	217040	So the programming language, a compiler and interpreted take care of all these, you know,
217040	218040	abstraction.
218040	223960	I mean, we don't need to, you know, we don't need to actually care about how these things
223960	227480	are getting executed inside the machine, but if you can, you know, reason about these
227480	231160	things at the subtracting machine level, then it should be enough, okay?
231160	235320	And we also, if you remember, emphasize, you know, the evolving role of a programmer,
235320	239720	you know, from, you know, being a code created to a code validator, now as moving forward
239720	244800	since we are using, you know, LLM and other kind of agents, very, you know, aggressively
244800	247520	in code development, you know, for good reasons.
247520	251640	So we need to somehow ensure, you know, we are, you know, almost never writing our code
251640	253640	from the various scratch.
253640	259280	So no, there is no pressing need to ensure that whatever code we get generated using these
