start	end	text
0	14680	Hello and welcome back to Python core and applied concepts for reliable data science workflows.
14680	22160	So today we will be continuing our discussion on assignment and no conditionals.
22160	48160	So in in the last few lectures we discussed about how to build expressions inside Python or you know programming language and we have also seen the very basic statement in Python programming language which is called assignment statement and assignment statement or you know nothing new to Python it's almost no present in every other imperative programming language.
48160	75160	We looked a little deeply into the semantics of assignment operator and we have seen you know with careful you know reasoning we can write correct programs which involves assignments right so we talked about a swap program where we use a temporary variable and we have also tried to write down some meaningful specification for those program using assertions.
75160	91160	This was our discussion in the previous few lecture so today we will continue our discussion and we'll talk about something called conditionals so every programming so let me you know go to the exact place.
92160	97160	So this is no model three which we have which we have been discussing you know in the last two three.
98160	120160	Video so we talked about this program and then you know we tried to we attempted at writing down correct specification this is what I was talking about so we can use assertions you know assertions of you know this crime where we can use some you know ghost variable and then try to write down interesting property of you know this program.
120160	149160	For example this program was a swap program and we captured the initial state of variable X and Y in this no ghost variable X original and Y origin and then when the program no wants to exit just before that we want to assert something which is in a sense to confirm that the program is doing what it was intended to do right so here what we are saying is now we want you know into X the original value of.
150160	177160	Y and into Y the original value of X so you don't recall this lecture please go back to the lecture and see how we can use ghost variable like this to you know state properties of functions or program that changes the state of machine right because assignment statement whenever you write an assignment statement it it always changes the state of you know the abstract machine on which your program will run.
177160	206160	For example here I mean you can see I mean you have destroyed the previous value of 10 when you do this no particular execute this particular line of code similarly you know these two line of code destroy the previous value of X and Y so if you want to stay meaningful property about you know the input and output of our program then most of the time we would need this kind of ghost variable which can help us capture the initial state when the function now started and.
207160	236160	We can utilize these initial state to say something meaningful about the final state of the program okay so for that purpose we have seen we need no ghost variable and we can use assertions to do this kind of chop so so this one you know one new thing that we discussed in the last lecture the python and like python other programming languages also provide you know some way for you to assert you know some property of program.
237160	254160	You know inside the program itself so that you know when you run this program the compiler or interpreter will check whether these assertions are true or not if the certain is true then you know it goes to the next instruction if it is false then you can optionally print something to indicate what went.
254160	271160	No wrong at that particular point and then you know the ground program will exit so this is how not certain works and it is a very useful tool as a programmer to do defensive programming so this is what we emphasize in the last lecture we have you know seen several attempt.
271160	282160	Art at listening you know correctly about this for function and you know this is nowhere we can create a last lecture so we continue this lecture you know with the discussion on branching.
282160	287160	You know which is also called you know if then else kind of construct in any programming language.
287160	311160	Now branching are very important why because as we discuss our program whatever you know what we want to calculate we can only you know communicate to machines using this programming language and normally what we do is we write instructions for doing you know a small you know set of you know what and then we join these instruction using sequence.
311160	326160	Operator to let's execute all of these work you know in this particular order to achieve our computation but most of the time if you want to compute some you know meaningful function.
326160	340160	We can't always go with a straight line you know sequence of execution of instructions so many of the interesting computation would require you to select one block of code.
