start	end	text
0	12120	Welcome back to Python core and applied concepts for a level data sense workflow.
12120	19020	In this session, we will discuss briefly about different types of programming error that
19020	24360	occur more frequently when we try to write no programming in Python programming language
24360	28160	or in general in any programming language.
28160	35600	So before we go to the programming errors, let's pause for a moment on this slide and
35600	44840	try to see a very important evolving pattern in today's programming paradigm.
44840	51600	So this picture is trying to highlight the evolving role of a coder in contemporary
51600	58600	programming practices where most of us are using LLM to generate our first draft of code.
58600	65600	So if you think a little bit carefully, in past two decades, learning a programming language
65600	71600	means learning the syntax and semantics of programming language and mostly we were
71600	75600	used to writing our code from very splash.
76600	81600	We used to learn the syntax and semantics and then try to write code for our purpose
81600	84600	without any external help.
84600	90600	But with the advent of LLM since these are models, probabilistic model trained on
90600	99600	a large repository of code base, we somehow tend to believe on the code that has been
100600	105600	generated by these LLMs and we normally query these LLM with natural language from to
105600	107600	get our first draft of the code.
107600	114600	So that's perfectly acceptable thing to get your first draft of code using these LLM.
114600	121600	But then if you are a serious programmer, the owners of validation or making sure that
121600	127600	the code behaves the way you wanted it to behave lies with you.
128600	133600	Now with the presence of LLM where you are not investing your time in writing this
133600	139600	code from scratch, it's even more desirable that you at least validate the code that has
139600	145600	been generated by some like LLM or any other agent.
145600	153600	So going ahead, our responsibility as a validator is even more since we are relying on
153600	159600	a third party like LLM to generate our first piece of code.
159600	164600	Now let's come back to the type of programming error that can occur when we are writing a
164600	165600	program.
165600	168600	The very first type of programming error are called syntax error.
168600	176600	So this syntax error caused when you violate the syntax rule of the programming language.
176600	182600	So let's say if you are trying to write a program which is not following one of the syntactical
182600	187600	rule of creation of either loads of expression or a statement in the programming language, then
187600	190600	you will certainly hit this syntax error.
190600	196600	But the good news is that compilers are good at catching this syntax error mostly because
196600	201600	this syntax error has been defined very formally in Python reference manual.
201600	207600	That's how compiler writers can be very clear about what is accepted as a valid program
207600	209600	and what is not accepted as a valid program.
209600	216600	And hence compiler will complain and it will not let you go ahead with running your
216600	218600	programs if there is a syntax error.
218600	224600	So this is kind of a very easy type of error which are somewhere here which is easily
224600	225600	visible to you.
225600	230600	Even if you let's say make this mistake or a LLM make this mistake, compiler will complain
230600	233600	and you will be able to identify this bug.
233600	238600	And then repair from those bugs, you can actually debug these kind of bugs.
238600	242600	But the other two types of bugs which are runtime errors and semantics error are
242600	249600	a little difficult and syntax error to catch and even recover from.
249600	251600	So what are runtime errors?
251600	259600	So imagine a scenario where your compiler did not complain and it gave you a
259600	262600	clinch to go ahead and then run your program.
262600	268600	But since your compiler did not complain about any structural invalidity,
268600	273600	it does not mean that your program will always run properly and complete its execution.
273600	281600	Sometimes due to some corner cases of user input, it may crash at the runtime.
281600	287600	For example, a very simple program to calculate the division of one number by another number.
287600	293600	You might not check whether the denominator is non-zero.
293600	298600	In that case, if you have written a function not taking into account this kind of scenario,
298600	302600	then when a user gives argument where the second argument is zero,
302600	308600	at the runtime your program will crash because division by zero is not defined.
308600	316600	So this kind of error can also come and they cannot be caught at the compilation time
316600	322600	because the program followed all the syntax rule of the language.
322600	328600	But at the runtime it may produce some error or some crash which is unexpected.
328600	336600	So that's why I mean to become a good programmer we should be able to not only predict
336600	342600	this kind of runtime unexpected behavior but also we should take care of these
342600	348600	unexpected behavior inside our code by writing proper exception handling mechanism
348600	352600	or blocks which gracefully handle this kind of unexpected scenario.
352600	358600	So these runtime errors are a little more subtle than syntax error,
358600	364600	but still I mean with practice you can learn how to handle this kind of runtime error.
364600	368600	Now coming to the third kind of error which we call semantic error.
368600	371600	I mean this is the most difficult type of error.
371600	375600	And the difficulty comes from again what we discussed in the previous class
375600	383600	from the ambiguity in the semantics because you know the semantic rules are not that clear.
383600	388600	So what we rely on is our overall understanding of what is the semantics of the program.
388600	392600	So when you start writing a program you have some intention in your mind
392600	399600	and you want to map that intention into a set of or sequencer instruction that you write in your program.
399600	405600	Now let's say your compiler does not complain about the structural validity of the program
405600	409600	and your program also runs to completion and produces result.
409600	415600	So simply because it could run to completion and produce some result does not mean
415600	418600	that the result is what you wanted to calculate.
418600	423600	There can be a misalignment between what is produced as an output
423600	427600	and what you intended to produce as an output.
427600	433600	So this is called semantic error because I mean there is a gap between what you wanted program to calculate
433600	435600	and what the program actually calculates.
435600	441600	Although the program is syntax tickly correct and has no runtime error occurring,
441600	447600	it does not guarantee that it will be solving the same problem that you wanted this program to solve.
447600	451600	It will be computing the same value that you wanted it to compute.
451600	458600	So this is the most difficult kind of error which may lie deep down your code
458600	467600	and even most proficient coder often make this mistake and they cannot figure out these kind of bugs and then debug it.
467600	474600	Now in conclusion what we want to emphasize is that it's very important to understand the precise semantics
474600	484600	and this is probably the most desired skill going ahead when we are relying on LLM to produce our first draft of code.
484600	489600	For watching this video I will see you in the next video till then goodbye.
