start	end	text
0	12240	Hello and welcome back to Python, Core and Applied Concept for Reliable Letters, Science
12240	13240	Workflow.
13240	20840	So, in today's this video we will continue our discussion of Bind Research Tree and we
20840	27200	will talk about some of the drawbacks of working with Bind Research Tree.
27200	35000	If you recall in the last lecture we discussed how to create Bind Research Tree from scratch
35000	42280	and how to then populate Bind Research Tree by adding element 1 at a time right and we
42280	47920	also have written one function which was actually adding this thing.
47920	54440	So, this BST insert was the function that we discussed in the last class, this BST insert
54440	62320	was helping us insert new values inside a existing Bind Research Tree and we experimented
62320	67360	with this function and we saw the function was working correctly.
67360	75080	But one thing which I noted very slightly in the previous lecture was that the overall
75080	82760	structure of the BST will depend upon the order in which you add this element because
82760	87000	the very first element becomes the root element of the BST.
87000	97920	Now, that may cause trouble and depending upon if the order in which element comes is
97920	107240	not favorable, we may end up with Bind Research Tree which are actually not balanced and
107240	114360	one of the major advantage of BST as we discussed in the last lecture was that if the BST
114360	121000	is balanced then searching in a BST for a value takes far less time right because you
121000	127080	either only search in the left half or the right half depending upon how the value compares
127080	134400	with the root node and in this way you can reduce our space by half in each go right
134400	145560	and that somehow leads to log and complexity of search as well as insert for searching
145560	153760	or inserting inside this BST, if the BST is balanced then you just need log and time
153760	158640	for doing both this activity where N is the number of nodes because log N becomes the
158720	165520	height of the BST. So, think about it in your free time and try to justify why for a balanced
167280	172960	Bind Research Tree, the height of the Bind Research Tree is always less log N of
174400	181200	where N is total number of elements in the Bind Research Tree. So, that's the major advantage
181200	187840	I mean of using BST that if your BST is balanced then you can do both insertion as well as search
188720	196320	which are most common activity on any data structure in log and time and log and doing being
196320	204000	being able to do it in log and time is a very huge advantage. It was not the case with not
204000	211520	let data structure which were linear in nature and we could get these advantages because
211760	219520	BST has this order property and also I mean in the good cases when your BST is balanced your
219520	227040	height is not only log N. So, losing these two are a very nice combination and that your tree
227040	234080	has a height of log N and your tree has this property where your root node is always better than
234880	240160	the element which is present in the left subtree and also your root node is
240880	245920	less than all the elements that is present in the right subtree. So, you can combine these two
245920	253520	property very nicely and come up with no efficient algorithm to search inside a Bind Research
253520	259200	Tree as well as no update Bind Research Tree by inserting some element into it. But when this
259280	267280	property of the BST this property of being balanced remember the property of being balanced is
267280	272800	not a mandatory property for Bind Research Tree right we had only two essential property for
272800	280480	BST one was this structural property which somehow guarantees that every node in the
281040	290880	BST can have at most two children and the other property was this ordering property. So,
290880	296400	so the balanced properties I mean if let us say we can define somehow this balance factor or
296400	302080	this balancing thing that you typically we are talking about. So, that is not a prerequisite
302080	306160	or not a requirement at least for the Bind Research Tree right. For example,
306720	311920	assume that if you have only two elements in your Bind Research Tree right so either one
311920	317280	element will be less than the other or the greater than other right I mean they
317280	322320	they assume that they are distinct element then your binary tree will be either you know right
322320	328960	skewed or left skewed right it it can never be balanced. So, you can never you know ensure
328960	335200	complete balance in your Bind Research Tree but then we want to define some notion of you know
335280	341280	balanced by in research tree and think about you know this kind of you know problematic
341280	347600	instances where tree make it you know unbalanced. So, let us talk about that you know in in
347600	353440	context of some you know example with some concrete example so that it makes sense. So,
353440	360800	this is the you know problem that I was talking about that depending on how these elements are
360800	367040	added into BST your BST may become completely you know unbalanced and then the height of the
367040	374560	BST is no more log of log and right where n is number of element in the BST. To give you a very
374560	379840	quick example I mean you can maybe apply the same function or that we have written BST insert
379840	386560	and then insert values in your Bind Research Tree where you know you start your you know your
386640	391280	Bind Research Tree your root is less than none in the beginning and then you add element in this
391280	399440	order. If you add elements in this order it is not difficult to you know convince yourself that
399440	406240	your tree will be skewed like this towards the right hand side right why because the first
406240	412480	element that you add is 10. So, 10 becomes the root node and then the 20 is the next element it
413200	419360	is greater than 10. So, it goes towards the right hand side okay. So, your node tree is not
419360	426800	at the current you know position when you insert this 20 is already skewed towards right but no
426800	433360	since you know every other value that is no coming is greater than the previous value you keep
433360	438720	on you know adding those element at the right hand side of the you know last element or to
438800	445840	not that you have added right and this way the tree keeps growing only towards the right hand
445840	451760	side right and and if you now measure the height of this tree it is no more log n right it is
451760	458480	exactly n right. So, these are extreme cases but you know this kind of a stream cases may occur
459120	466720	either you know completely you know these extreme cases are somewhere in in in between I mean
466720	474160	you may have some element which can get you balanced tree but then some at a stress you may get
474160	480000	something like this which can cause you know imbalance in some part of the tree. So, it's not
480000	486400	you know by just no maintaining the BST property you know in a nutshell what I'm trying to
486400	492240	emphasize is that no by just maintaining the BST property we cannot be sure that our binary
492240	499040	substrate that we get is always balanced okay and this kind of thing this kind of trees
499680	505440	are you know unbalanced tree I mean this is what we call unbalanced tree okay and very you know
505440	511040	go you know clean example is this you know increasing you know sorted let's say at least I mean if
511040	516240	you if your element comes in this you know sorted out either in increasing order or in decreasing
516320	521200	order right because if these elements come in decreasing order then in you can guess that
522320	528320	this tree will become now left skewed right because you know everything in the very beginning you
528320	536800	will get 50 and then 40 30 20 and 10 and all the new up no let us know members actually get to
536800	542480	the left subtree okay and that way the tree may also grow towards the left hand side okay.
542480	548320	So, in these kind of you know extreme example your tree is completely you know skewed I mean
548960	554480	and this is just one of the same thing that I mentioned right now so if you know run this code
554480	561200	which was you know our actual code okay so maybe we need to compile our code once more this BST
565040	571840	so we define it somewhere yeah here so let me compile this BST insert and after
572720	581520	this block if you again in that block on this sorted no list which represents you know the
581520	588880	bad kind of order in which so this order then you can see that the tree produce will be
589440	604640	okay so let me you know again compile the display tree function which we have this defined
604640	612720	earlier in the earlier class right I mean so this was BST insert and where is this display tree
612800	615520	so this is the code once we compile
621360	629440	no maybe we just compile the code for this display function even once we compile it
630080	634800	and then we come back to the place where we wanted to use it for the sorted list
634880	645440	okay so now we have both the functions compile and it should actually run okay now if you run on
645440	652720	this you can see you know when your input are in increasing order only you know any just step
652720	660400	what is happening your you know right child is not being updated okay and you know at the end
660400	666400	I mean what you get is this right child you know so left child remains none right and always the
666400	673360	right child is expanded into another you know tree where again the left child is none and then
673360	679520	right child has some value so you know so in picture I mean you know if you want to see this is
679520	685840	exactly the scenario right where your tree is balanced towards the right and side so we certainly
685840	693760	don't want this kind of you know scenario right where your tree becomes skewed in nature either
693760	700000	left skewed or not right skewed so we want to avoid it otherwise we will not get the benefit of
700000	710640	using BST kind of structure okay so this is what we know call no balancing okay so for
710640	715680	for example and this is you know somewhat balanced tree but this is no completely unbalanced tree
715680	721360	but we need and and when we have balanced tree then this is what we have right our height is
721360	727920	log of n where n is total number of nodes in the tree and if your height is in log of n then you
727920	735440	can do no most of the operation in of the order of log and time but if your tree grows you know in an
735440	741280	unbalanced way for example this way the height becomes of the order of n and then any activity
741280	747600	or any operation that you want to do on this data structure like you know insert or search
748320	756240	takes this log and so this you know of the order of n time so this this may have no real world
756240	764320	consequences and when your I mean these are some of the examples where you actually no real data
764320	770400	may have this sorted property and in that case if you want to store then using BST then you will
770400	776800	get this kind of skewed BST and you will not get the benefit of BST so what is the root cause
777760	783120	regular BST don't care about their shape right so they have some structural requirement right
783120	790400	structural requirement was that every node has should have at most not to children right and
790400	795760	that was only structural requirement but that does not in in force in any way for these trees
795760	801680	to be you know balanced right because in this case I mean it followed that is structural requirement
801680	811040	if you see closely right none of the node has more than two children but it was not balanced
811200	820960	right it was a skewed tree so so we need you know now somehow another no restriction or you can
820960	826720	say invariant that we want to maintain for this data structure which is what we call no balance
826720	834400	factor okay now so that's why you know we are going to discuss today something which is an
834400	838880	you know improvement over by necessity which we call height balance tree okay so there are
838880	845200	multiple ways in which you can you know balance height for this kind of binary substrate and we
845200	852080	will be discussing today one of the very you know popular height balance tree structure which is
852080	858320	called AVL tree okay so height balance tree maintains this extra property that for every node
858320	868800	the height of left and rights of tree differ by at most one okay so I will call my tree to be
869120	874560	height balanced only if this property is true right that no you're but in this case you can see
874560	879840	for example this is not height balance right because the right subtree has no height 4
880480	886560	but the left subtree had height 0 so I this will not qualify as no height balance tree but what
886560	891280	about this I mean can we say or something about this is it a height balance tree
891680	902080	for example for this node the left hand subtree has height 2 and the right hand subtree also has
902080	909120	height 2 right so for this node I mean this node will not complain right so this is not a
910080	915040	counter example to a height you know imbalance or let's hide balance right what about this node
915600	923040	for this node can we say the same okay there is no right child for this node 20 but there is a
923040	929200	left child okay but here also the no balance factor is only one right the difference in height
929200	936160	between left subtree and right subtree for this node is also one and if it is no one or less
936160	940960	than one then we don't care I mean we say that it's okay because anyway I mean if let's say
941840	947760	in the very the example that the simplest example that I gave you if you have only two elements
947760	955040	then you you can't know always say that no I can maintain a height difference of 0 between
955040	960000	node left and right right because one of the two will come as a left child or right child for
960000	965600	the simple or the simplest tree you will have high difference of one okay so what we say is we
965680	974800	don't worry if the height difference of the left subtree and the right subtree is one at any
974800	980400	you know place in our tree but if it is more than one then you know we would like to do something
980400	987840	so that you know we can correct this height imbalance okay so let me yeah let me come to
988000	999680	so this is how we define the balance factor okay so we measure our balance using a simple
