start	end	text
0	20800	Welcome back to our discussion on Python's expression hierarchy.
20800	28880	So if you recall from our last video, we have already discussed these three bottom layer
28880	35760	of expressions. So the first one, we define very primitive expressions using different types
35760	42960	of operator in Python programming language. And then we also talked about something called
42960	50880	assignment expression, which is also called Walrus operator. And we saw that it is distinct
50880	58240	from the assignment statement. And that distinction was very much important for writing
58800	65280	semantically correct program. So syntax error are not a problem again to re-emphasize.
65920	71200	If you do some syntax error with these Walrus operator, so somehow compiler or interpreter will
72560	78640	catch this and report you bug. But we have to be very careful about the semantics of these
79520	85920	Walrus operator or assignment expression when we are using it inside any complex,
85920	91920	let's expression. So but again, I mean the status of these assignment or Walrus operator is
91920	97600	expression. So they are valid expression and you can use it at any place where an expression can
97600	106720	be used. Now in our progression of this hierarchy of Python expressions, the last remaining
107600	113680	block is about lambda expression. So in today's video, we will talk about lambda expressions. I mean,
114320	122320	water lambda expressions and what is its relevance and how to use it properly inside Python code.
122960	128960	So without no further delay, let's move to our Jupyter Notebook and we'll continue our
128960	140640	discussion from there. I hope you can see my Jupyter Notebook. So this is the place, if you recall,
141600	149840	we concluded our last discussion. So we discussed this great assignment ambiguity where the
149840	156880	similar looking expressions on which involve assignment statement as well as this Walrus operators,
158320	164080	we have quite differently. We saw that while this second statement was
164640	172080	happily accepted by the interpreter, the last statement that we have written could not be accepted.
172080	180880	And the reason for that was that Python expected something here, whatever was present here to be an
180880	187280	expression, but this is not an expression unlike this thing. So this was the reason why it did not
187280	194640	accept this, but it happily accepted this one. So this kind of difference is a very subtle
194640	200800	and you need to be careful with the semantics to figure out why one is accepted and why another
200800	207680	one is not accepted. So now let's move on to the topic of today's discussion, which is lambda
207680	216320	expressions. So what are lambda expressions? So you can see my cursor. So lambda expressions are
216400	223040	no a way to create small anonymous functions, functions without name as an expression. So
223040	228960	although we did not talk about function to this point, but since lambda expressions are also
228960	236800	expressions, I find it justified to mention it at this point. So if you don't follow some of the
236800	241920	concepts that we discussed in today's video, don't worry. I mean we are going to come back to
242000	246640	the discussion of lambda expression again when we discuss, you know, function in detail. So at that
246640	252400	point of time, you might be able to make sense of, you know, few things that may not be
252400	259200	relatable in this video. Okay. So please, you know, just bear with me and continue the whole video,
259200	265360	watching the whole video. It will make sense mostly, but if you don't follow everything, then I mean
265360	270560	just wait for the lectures on functions and we will revisit these things in much more detail.
270640	276160	So, so just in short, I mean, what is, you know, lambda expressions, they are a way to
277040	283200	implement functions inside, you know, Python without giving functions any name. So that's why
283200	289040	we are calling it anonymous functions. Okay. So, you know, think of it as, you know, quick one time
289040	293840	use functions that you can create on the spot. So normally what happens, if you, if some,
294400	300960	no piece of code in your program, you find it to be very relevant and maybe reusable at
300960	306560	multiple times. We try to define functions, you know, using those course and we say that,
307440	312640	we give it a name. I mean, this block of code, we normally assign a name, which is the function name.
312640	318000	And then we can use those, you know, set of, you know, lines or collection of line at multiple
318000	323280	places, wherever we need that kind of reasoning on, you know, logical calculation, not to happen.
323280	328160	So that's, you know, overall, you know, agenda of defining functions in any programming language,
328160	336160	that if you feel that your code is reusable, normally we give it a name and we use it at multiple,
336160	339840	you know, different places. Okay. But I mean, lambda expression, you know,
341040	344800	just the opposite purpose. I mean, let's say, I mean, if you want to define, you know,
344800	351280	some functions or some set of expressions, which might not be that useful at multiple places,
351280	356560	it may be, you know, used in just one or two, it's a multiple places in the same, you know,
356560	362480	file, maybe. And it's very simple. The logic is very simple. Then in that case, we don't go ahead
362480	368240	and define the whole, you know, function, you know, using and give it a name because that name
368240	373280	may clutter the name space for your whole, you know, Python development environment. You also don't
373280	378800	want to write lots of, you know, names or variables so that I mean, things are available for future
378880	384640	use, right? And there is no conflict between, you know, names. So lambda expressions are, you know,
384640	390320	one such a way where you don't assign normally names to functions, but then functions are defined.
390960	396400	And this thing is called an expression instead of, you know, programming statement, we call,
396400	401600	you know, these are the expression inside, you know, programming language like Python.
401600	406880	So the basic syntax for the lambda expression is, you know, something like this,
406960	413200	where you see, I mean, we write lambda to indicate that we are, you know, going to write a lambda,
413200	418160	no function, which Python should accept as an expression itself. So the whole thing from,
418160	423600	you know, from the beginning to the end is actually an expression, okay? And what's the,
423600	428160	you know, way the exact syntax is you write lambda, which indicates to the compiler that we are
428160	433040	going to, you know, write a lambda function. And then we pass all the parameters for the function,
433040	438160	right? So function always does some computation. And to start the computation, it needs some input
438160	442640	from you, but those inputs are nothing called parameters. So you may have one parameter, you may
442640	448000	have two parameters, you may have multiple parameters, you may pass, you know, more than two
448000	452800	parameters in list or dictionary inside of function. So all of these things again, we will come to
452800	457920	the function discussion and there, we will be very detailed about, you know, this parameter,
457920	462480	but for the time being, I just wanted to highlight the, you know, intention of passing parameter,
462480	468240	because you want to compute something based on some initial value that the user will provide you.
468240	474080	So that's what we call parameter. And then the expression is actually what computes the, you know,
474080	479920	this, you know, complex value or, you know, complicated, you know, value that you want to calculate
479920	486720	for your purpose, let's say. So this is the expression, okay? So let's try to define some very,
487680	494000	very, very easy lambda functions for very simple functions.
495600	500400	For example, one, let's say, you know, we try to, you know, create a lambda function,
500400	505440	which tries to mimic this function, which calculates the square of any given number, okay?
505440	511920	So if you have to, let's say, write a simple function in Python, which calculates the square of,
511920	521920	you know, number, then, let me show you, I think it's visible. So you can see my
523280	529520	Jupyter notebook. So what we have here is, we have defined a very simple, you know, function.
529520	534640	So this is how we define a function, okay? So we said definition. So this deaf indicates that
534640	538880	we are going to write a function. And then we give the name of the function that we are going to,
539840	545040	you know, define right now, so which is, you know, our square function. So we say it squared.
545040	549120	So square is the name that we have chosen, okay? So you can use any name. I mean, you want
549760	556880	to use here to, let's say, name this function. So since square, you know, resembles the intention of
556880	562960	the, or the purpose of the function. So we kept the name square here. And this is the argument.
